sentence,sentiment,model_sentiment,dataset,equals,,,,acuraccy ,0.617902054,,sentence count ,12803
אדוני הנשיא מקווה שתשקול לחון את מר קצב אני בטוח ומאמין שלא עשה כדברים האלה גם אם בית משפט קבע שאשם גם שופט יכל לטעות המון אנשים ישבו ויושבים ללא עוול ופשע,0,1,train,FALSE,,,,,,,,
 כל כך שמחה שנעשתה הבחירה הנכונה  רובי ריבלין אתה האדם הכי מתאים לתפקיד נשיא המדינה של מדינת עשראל הצניעות הטוב והרגישות ניכרים על פנייך באופן ברור  בהצלחה רבה  ,0,0,train,TRUE,,,,,,,,
 תודה כבודו  זהו חלום של כולנו  תודה לך שהבעת אותו בשמנו ותודה לבתי המקסימה שהביאה כאן את דבריך  ,0,0,train,TRUE,,,,,,,,
מאחורי כל גבר מצליח יש אישה אוהבת ותומכת ,0,0,train,TRUE,,,,,,,,
 אתה כבר לא הנשיא שלי  אתה מעודד התבוללות אז אין בך יחודיות כנשיא העם היהודי  שבת שלום ,1,0,train,FALSE,,,,,,,,
 יישר כח  מוסיף כבוד למוסד הנשיאות ולכבודה המתכרסם של מדינת ישראל  באמירה ברורה  חזקה וחד משמעית כנגד הגזענות  לא רק זבוטינסקי קידם אמת מוסרית זו  אלא כך אנו קוראים גם בספר בראשית    זֶה סֵפֶר תּוֹלְדֹת אָדָם    בְּיוֹם בְּרֹא אֱלֹהִים אָדָם  בִּדְמוּת אֱלֹהִים עָשָׂה אֹתוֹ  ב זָכָר וּנְקֵבָה בְּרָאָם  וַיְבָרֶךְ אֹתָם  וַיִּקְרָא אֶתשְׁמָם אָדָם בְּיוֹם הִבָּרְאָם    ,0,0,train,TRUE,,,,,,,,
כבר יש לו דרכון של מדינה זרה כל שהיא ,1,2,train,FALSE,,,,,,,,
עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ,1,1,train,TRUE,,,,,,,,
האיש הנכון במק לעם ישראל טוב לירושלים סוף סוף ום הנכון טוב,0,0,train,TRUE,,,,,,,,
 יש לך חיוך שכובש את כל מדינת ישראל  כבוד הנשיא  ,0,0,train,TRUE,,,,,,,,
נשיא מדינת ישראל כלבבי  יישר כוח ,0,0,train,TRUE,,,,,,,,
 מילים כדורבנות  גאים בך  רובי  נשיא מדינת ישראל  ,0,0,train,TRUE,,,,,,,,
נשיר אלק  קודם תפשפש במעשייך  נראה עד מתי תישאר נשיא ,1,0,train,FALSE,,,,,,,,
אדוני הנשיא גם אני מאחל לך שנה טובה והכי שקטה שיש  שנה שלא תצייץ בה כל שטות ,1,0,train,FALSE,,,,,,,,
 עכשיו שיודעים מי החוטפים ללכת לבתי המשפחות ופשוט להכניס את כולם אבל כולם לכלא בלי לתת להם שום פרבילגיה ולפרסם כי הם ישוחררו כשהבנים הצדיקים שלנו ישוחררו כי   ברומא תתנהג כרומאי   בואו נראה את הנבלות אחרי שידעו שההורים האחים הסבא והסבתא בכלא בתנאים קשים מה הם יעשו זאת הדרך  ,0,1,train,FALSE,,,,,,,,
רובי הייתי רוצה לראות ערביה נישאת ליהודי,1,2,train,FALSE,,,,,,,,
תמונה יפיפיהשפו,0,2,train,FALSE,,,,,,,,
חייבים לעשות סוג של חרם כשכתבים שונאי ישראל עולים לשידור צריכים להעביר לערוץ אחר ואז תראו מה יעשה כוחו של הרייטינג  בהקשר לדבריה של רינה מצליח ,2,1,train,FALSE,,,,,,,,
אופיר בדיוק על שכמותך הנשיא כתב את מילותיו,0,0,train,TRUE,,,,,,,,
שבת שלום אדוני השיא  ,0,0,train,TRUE,,,,,,,,
כל תקציב הביטחון הזה והטכנולוגיה ואין ארתעה נגד המחבלים מפציצים לא יודעה מה  חשביםמומתחשבים מה יגיד העולם צריך לפעול מהר וחזק שגם העולם יחשוב פעמים שעם היהודים והישרלים לא כידי להעתעסק ביבי וליברמן ובנט תתחילו לפעול כמו מנהגים עמיצים ולא להפציץ מחסנים ריקים ,1,1,train,TRUE,,,,,,,,
צודק 100 אחוז כל אחד והבחירה שלו,0,0,train,TRUE,,,,,,,,
 בהצלחה  ישר כח ,0,0,train,TRUE,,,,,,,,
שבת שלום ,0,0,train,TRUE,,,,,,,,
ירושלמי   אסלי   אתה נשיא שלנו ואין מצב שלא תיבחר  אנחנו מאמינים בני מאמינים בהצלחה איש יקר ,0,0,train,TRUE,,,,,,,,
G bless you Mr Reuven Rubi Rivlin  ראובן רובי ריבלין  ,0,2,train,FALSE,,,,,,,,
מה קרה אדון הנשיא הפכת את העור שלך,1,0,train,FALSE,,,,,,,,
בהצלחה לעם ישראל  ולך,0,0,train,TRUE,,,,,,,,
Bengi Rivlin משפחה 😏,0,2,train,FALSE,,,,,,,,
מקסים,0,0,train,TRUE,,,,,,,,
יחי נשיאנו החדש לכבוד ותפארת מדינת ישראל,0,0,train,TRUE,,,,,,,,
למה זה בלבול שכל ,1,2,train,FALSE,,,,,,,,
 הכנסת בחרה בבחירת העם  תושבי דימונה מאחלים לך הצלחה רבה  בריאות וכוחות  תישאר רגיש ומרגש  עם חוש הומור וערכי חברות ונאמנות  ,0,0,train,TRUE,,,,,,,,
 לנשיא שלנו החדש  תודה לך על דבריך המרגשים  עכשיו החשוב ביותר הוא להרגיע את השיח  הפוגעני שנפוץ בינינו ולדבר על הרגעת המלים הקשות והפוגעניות שעפות לכל עבר ,0,2,train,FALSE,,,,,,,,
איש ממשפחה שבנתה שכונות מיחוץ לחומה,0,0,train,TRUE,,,,,,,,
כבוד הנשיא אני חולקת עליך אני מאחלת להם ימים של סבל שלעולם לא יהיה להם יום אחד מאושר בחיים שלהם וב  ה גם לא יהיו להם ילדים שלא ידעו נחת בחיים שלהם  חיילים שלנו נלחמים ונהרגים למען המדינה וזבל הזאת מתחתנת עם ערבי אני בהחלט מאחלת לה צער וסבל כל חייה  🙏🙏,1,2,train,FALSE,,,,,,,,
בריאות כבוד הנשיא  לך לנכד למשפחתך ולכל עם ישראל,0,0,train,TRUE,,,,,,,,
בהצלחה ,0,0,train,TRUE,,,,,,,,
רק לפי הפוסט הזה רואים כמה אתה ראוי לתואר כבוד נשיא המדינה ראובן  רובי  ריבלין ,0,0,train,TRUE,,,,,,,,
שמור על פיך המלוכלך  וכבד את הנשיא ואם לא את הנשיא כבד אדם מבוגר מגילך  אני בטוחה שלא ככה חונכת מהבית ,1,0,train,FALSE,,,,,,,,
 מה אתה אומר  באמת  אני חתמתי על כרטיס אדי כבר לפני 20 שנה  אז טוב שנזכרת רק עכשיו  ,1,0,train,FALSE,,,,,,,,
יהי זכרו ברוך,0,0,train,TRUE,,,,,,,,
אז אתה בא  httpswwwfacebookcomevents1539984016223725,2,2,train,TRUE,,,,,,,,
כבוד הנשיא מזל טוב עד 120 גאה ומעריצה שלך הרבה שנים תבורך שיהיה לך בהצלחה בתפקידך ,0,0,train,TRUE,,,,,,,,
לא רק הנכד אוהב אותך גם עם ירשאלמאחלים הצלחה בתפקיד לאריכות ימים בבריאות טובה ,0,0,train,TRUE,,,,,,,,
 נשיא מטומטם וצבוע  הלוואי על הנכדות שלך חתן ערבי יא נעל ,1,0,train,FALSE,,,,,,,,
 גאי אתה טיפש מטופש ילד כאפות שלא חונך על ברכי היהדות  בטח אבא שלך מתחנגל ממרץאו אמא שלך מוסלמית או הפילגש של אבא של מוסלמית  ,2,2,train,TRUE,,,,,,,,
אוהבים אותך הנשיא ריבלין,0,0,train,TRUE,,,,,,,,
אדוני הנשיא הערב תישמע קינה על מדינת ישראל שאים לא תתחילו לטפל במיעוט הזה כמו שצריך היא תחרב אים תמשיכו להקשיב לעולם ולא לעם היהודי אנחנו לא נהיה פה עוד להרבה זמן די לרחמנות די לכסלות די לטיפשות די לחלומות ולפנטזיה שלכם על שלום לא יהיה שלום עים רוצחים או אנחנו או הם,1,0,train,FALSE,,,,,,,,
 כל הכבוד לך רובי  איש צנוע  נעים הליכות שיודע לרגש ולהתרגש  איש ארץ ישראל השלמה  אין איש ראוי ממך  אין איש מתאים ממך  מי ייתן וייתן לך האל בריאות והצלחה למלא את התפקיד  יחי נשיא מדינת ישראל  יחי  יחי  יחי  ,0,0,train,TRUE,,,,,,,,
כל הכבוד לנשיא היקר הזה  זמן כה קצר בכהונה וכל התבטאויותיו עד היום עושות כבוד לתפקיד ,0,0,train,TRUE,,,,,,,,
אמן,0,0,train,TRUE,,,,,,,,
 בהצלחה  שמחה רבה שמחתי היום לשמוע שאתה הוא הנשיא הבא של מדינת ישראל  יְבָרֶכְךָ ה וְיִשְׁמֶרְךָ  יָאֵר ה פָּנָיו אֵלֶיךָ וִיחֻנֵּךָּ  יִשָּׂא ה פָּנָיו אֵלֶיךָ וְיַשֵּׂם לְךָ שָׁלוֹם  וְשָׂמוּ אֶת שְׁמִי עַל בְּנֵי יִשְׂרָאֵל  וַאֲנִי אֲבָרֲכֵם  ,0,0,train,TRUE,,,,,,,,
אני גם ימני מאוד וחושב שצריך לכבד החלטות של כל אדם  אבל זה טוב שיש את המחאה וההפגנה הזאת שהילדות או הבחורות הצעירות היהודיות יבינו את הבעיה פה  אם יצילו יהודייה אחת זה שווה הכל ,1,0,train,FALSE,,,,,,,,
הנשיא האידיאלי לישראל יהודית דמוקריטית ,0,0,train,TRUE,,,,,,,,
כואב ומדכא ליבי עם גילה,0,1,train,FALSE,,,,,,,,
 שבת שלום לך  רק אתה ראוי ותהיה נשיאנו ,0,0,train,TRUE,,,,,,,,
ברכות והמון הצלחה בבית הנשיא  אוהבים אותך רובי,0,0,train,TRUE,,,,,,,,
כואבים ומתאבלים עם המשפחות על רצח הבנים שנלקחו בדמי ימיהם ,0,1,train,FALSE,,,,,,,,
 הלב נשבר  איזה מתוק ומקסים  תנצבה ,0,0,train,TRUE,,,,,,,,
כל הכבוד  אבל למה עד עכשיו לא היה לך ,0,0,train,TRUE,,,,,,,,
בהצלחה חבר יקר תודה על נאמנותך למדינה ואהבת הארץ,0,0,train,TRUE,,,,,,,,
 הנשיא הביתרי הראשון תל חי ,0,0,train,TRUE,,,,,,,,
כבוד הנשיא ראובן ריבלין תודה לאל שיש לנו נשיא כמוך ,0,0,train,TRUE,,,,,,,,
רגע  אם היינו מתבוללים כבר לפני 2000 שנה כשהרומאים הגלו את חלקינו  זה לא היה מונע את כל הבלאגן הזה ,1,1,train,TRUE,,,,,,,,
יחי נשיא מדינת ישראל ,0,0,train,TRUE,,,,,,,,
צודק 100 אחוז כל אחד והבחירה שלו,0,0,train,TRUE,,,,,,,,
יום עצוב למוסד הנשיאות ולמדינה ,1,2,train,FALSE,,,,,,,,
 אז המערכון בפרלמנט   שהשתתפת בו עם אסי כהן אשכרה נכון   אתה כל הזמן מוציא תמונות של הנכדים כבוד הנשיא   ,0,0,train,TRUE,,,,,,,,
 אם לי הייתה זכות בחירה  ללא ספק הייתי מצביע עבורך  בהצלחה  👍,0,0,train,TRUE,,,,,,,,
הלב נשבר למראה הילד המתוק יהיי זכרו ברוך אמן,0,0,train,TRUE,,,,,,,,
אני אלגירי וזו הפעם הראשונה שאני שומע מישהו בפלסטין הכבושה לומר את המילים סבירות ואינו קורא לגזעני ואומרים ליהודים שאומרים מוות לערבים אומרים להם חוסר שביעות רצון ומוות לציונים ואינטואיציות ישראליות חופש לפלסטין,1,2,train,FALSE,,,,,,,,
בכול השרות יהודים נלחמו כנגד התבוללות לא יכול להיות מצב שנשיא מדינת ישראל יעודד התבוללות לכן איבדתה את הקרקע המוסרית להיות נשיא מדינת היהודים,1,0,train,FALSE,,,,,,,,
בשעה טובה מגיע לך מאחל לך הצלחה כבוד הנשיא הנבחר,0,0,train,TRUE,,,,,,,,
תתפטר כבר ליצן,0,2,train,FALSE,,,,,,,,
 האישה התאסלמה  אז היא ערבייה  למה זה צריך להפריע למישהו  ,1,0,train,FALSE,,,,,,,,
שבת שלום לנשיא ה10  מדינת ישראל זכתה ,0,0,train,TRUE,,,,,,,,
אפילו נשיא מדינת ישראל מתייחס לחתונה הזאת  האם העולם השתגע  החתונה הזאת לא מעניינת בעליל  כל יום ילדות יהודיות נופלות ברשתם של מוסלמים ערבים בכל רחבי הארץ  הסיקור מיותר וההתייחסות מלבה את העניין וגורמת להתססה  שתעשה מה שהיא רוצה  מטומטמת היא בהחלט מטומטמת ,1,0,train,FALSE,,,,,,,,
איש יקר רק נכנסת לתפקידך ויום למחרת בבוקר היית בנחום אבלי במשפחה האבלה של חייל שנהרג,0,0,train,TRUE,,,,,,,,
כבוד הנשיא אתה צודק בהחלט נכון מאוד ,0,0,train,TRUE,,,,,,,,
אדוני הנשיא כשמדובר באחת מהסכנות הקיומיות של העם היהודי לא פחות מהחמאס בעזה  עלינו לצאת נגד זה  וכנשיא מדינת ישראל הייתי מצפה ממך לגנות את הזה או לפחות לא לעודד  הרי היה דיון בוועדת הכנסת בנושא ההתבוללות בנישואים למוסלמים ואיך כל המקרים האלו נגמרו בהתעללות בנשים ובילדיהם  אין לי ספק שזה יהיה גם סוף המקרה הזה ,1,0,train,FALSE,,,,,,,,
שמעון יפרח העלאתי בשבילך את דבריו של שמעון פרס  ראה פוסט  לפני שכותבים פוסט רצוי לבדוק אותו הייטב בנוסח בשגיאות ובנשאאין על שמעון פרס הנשיא לדוגמא,2,1,train,FALSE,,,,,,,,
הלוואי ואתה הנשיא מר ריבלין היקר,0,0,train,TRUE,,,,,,,,
שבוע טוב לנשיא מדינת ישראל הנכנס והמכיר את עמו וארצו ורגשות העם מעל לכל ספק,0,0,train,TRUE,,,,,,,,
אכן מרגש  הלוואי על כל הזוגות,0,0,train,TRUE,,,,,,,,
זוג מדהים ,0,1,train,FALSE,,,,,,,,
 כבוד הנשיא גם לי יש המון חלומות  עד שהשעון המעורר הורס לי אותם 😄,1,0,train,FALSE,,,,,,,,
כבוד הנשיא לא הייתה צריך להגיד כלום בקשר לאיתבוללות ולברך  כי אתה משאיר דרך פריצה לאיתבוללות  שאלוהים היא שמור,1,0,train,FALSE,,,,,,,,
כל הכבוד ישר כוח והלואי שכולם יחתמו על כרטיס אדי ואז אנשים רבים יוכלו לחיות עוד הרבה זמן ובנהם בעלי שממתין להשתלת לב ואנו מתפללים שיצליחו להציל אותו לפני שיהיה מאוחר,0,0,train,TRUE,,,,,,,,
שבת שלום אדוני הנשיא מי יתן והנערים יחזרו בשלום,0,0,train,TRUE,,,,,,,,
תפילות,0,2,train,FALSE,,,,,,,,
 מצדיע לנשיא המדינה על דבריו הברורים והחדים  תומך בך תמיכה מלאה  ולאלה שחושבים שכבוד האדם וזכויות יסוד הם עניין לשמאלנים  תחשבו שוב  האם אתם ימניים או פשיסטים גזעניים  ,0,0,train,TRUE,,,,,,,,
כמה עצוב  מלאך קטן  ליבי עם המשפחה,0,0,train,TRUE,,,,,,,,
רובי ריבלין אתה תיבחר מחר,0,0,train,TRUE,,,,,,,,
 רובי לאחר דבריך קשה לי לכנות אותך נשיא מדינת ישראל  אהבתי ותמכתי בך אך דבריך בקשר לזוג מיפו פגעו בך קשות השפלת את עצמך גם אם חשבת כך לא היתה צריך להתבטא פגעת לא רק בעצמך גם במוסד הנשיאות שאמור לייצג את מדינת היהודים  ,1,1,train,TRUE,,,,,,,,
 תמשיך להיות סבא מגניב  את זה לא ישכחו לך לעולם  ,0,2,train,FALSE,,,,,,,,
אמן ,0,0,train,TRUE,,,,,,,,
ילד חמוד יפה לא מגיע לו ככה כל הכבוד ראובן שבאתה לקרבו וליוות אותו בדרכו האחרונה יפה מצדך  y ,0,0,train,TRUE,,,,,,,,
 בה  שבוע טוב ומזל טוב אליהו הנביא זכור לטוב לכבוד ראש הממשלה  ובכן כבודו כתב השבוע   המדיניות שלנו פשוטה  הקם להורגך השכם להורגו     יפה  ציטות כמעט מדויק מהמקורות  המקור הוא   הבא להרגך השכם להרגו   מהגמרא  ברכות נח א  סב ב  יומא פה ב   אין ספק בנימין  שהליכוד בתיהם  ישלם מחיר כבד מאוד על אוזלת היד בביטחון  שחרור מחבלים  כניעה בהר הבית  קסאמים וטילים יום יום  גם הלילה    מתן ומתן  ועכשיו חטיפות ילדים  על כן אנו מבקשים ממך לפעול כראש ממשלת ישראל   וזה לא אומר להופיע בתשקורת ולהודיע לעם על החטיפה  ובעצם להודות על הכישלון של ממשלתיך המתרפסת לאויב יום יום   זאת אומרת   לפתר לאלתר את הכישלון לביטחון על הפנים  הצר אהרונוביץ  אשר מראה את כישלונותיו יום יום בהר הבית  ויורק על עם ישראל שמשלם לו  ומגרש יהודים מהר הבית יום יום  הפוך ממה שהוא אמור לעשות  לגרש מחבלים ופורעים  ועכשיו גם ילדים נחטפים לאור יום  עם ישראל לא מוכן לשלם כישלון מתרפס כזה לא לשנייה אחת יותר  ולא היינו פוסלים צעדים פלילים נגדו כלל וכלל  מתוקף אחריותו  תחליט להיות מנהיג בנימין  אחרת הליכוד בתיהם ישלם מחיר כבד  וכבר משלם   לכלוא כל מנהיג ערבי בחברון וכמובן כל חשוד מיד לחקירות  ללא ביקורים כמובן  ואם אפשר בלי בשר ויין  עד לשחרור הילדים לפחות   לתקוף ללא הרף בעזה ולחסל יום יום את כל מנהיגי החמאס  חיסול נקודתי יעיל ביותר  אבל יום יום   לשחרר את שטחי C תחילה מהכיבוש הערבי  ולמנוע כניסת ערבים להר הבית עד לשחרור הילדים   לבטל מיד את כל הסכמי אוסלו המבוטלים מאילהם  אשר פושעי אוסלו יתנו את הדין עליהם  וכבר מתחילים לשלם   הפסקת חשמל  מים ודלק לרשעות בעזה  רמאלה וכל השטחים הכבושים על ידי הערבים המחבלים הפולשים ב 48   לתת אישורים חופשי לבנייה ביוש  ולהגביר את הקצב  ואם כך תעשה בה תצליח  כי זו בדיוק מדיניות בורא עולם  והפעם בנימין  העם לא יסלח לך על התרפסות נוספת  ,1,0,train,FALSE,,,,,,,,
בהצלחה רובי ריבלין אתה בין המועמדים הנבחרים ,0,0,train,TRUE,,,,,,,,
יקירנו מכובדנו אתה מוסיף תקווה לעם אתה גאוותנו,0,0,train,TRUE,,,,,,,,
 מזעזע  נשיא המדינה נותן גושפנקא לנשואי התבוללות ומעודד על ידי כך נשואים כאלו  ריבלין הפתעתה אותנו    נשיא מדינת היהודים  לא פרס  אלא ריבלין  זה מזעזע  בשם משפחות יהודיות בכלל ובשם משפחות שכולות בפרט  אני מביע שאת נפש מאמירותיו של נשיא מדינת היהודים  יש טירור גלוי שזה האוייבים  ויש טירור שקט שזה על ידי ההתבוללות   ,1,0,train,FALSE,,,,,,,,
 זה בטח לא יהיה   כדת משה וישראל   ,1,2,train,FALSE,,,,,,,,
כבוד הנשיא מתקרבת שנת תשעה אולי נכריז עליה כ תהה שנת ערבות הדדית,0,0,train,TRUE,,,,,,,,
אל תתעסק בנושא שאיננו מעניינך  אל תסתבך ראובן כך הסתבך הנשיא הנוכחי ,1,0,train,FALSE,,,,,,,,
 אחלה נשיא אחלה ביתרי שתהיה לכל הקבוצות בהצלחה ובמיוחד לביתר ירושלים ,0,0,train,TRUE,,,,,,,,
 מאוכזבת ממך מאוד    אנשים במשך כל הדורות נהרגו על קידוש ה ובקלות כזאת אתה מצדד בדמוקרטיה לבחור ועוד מאחל להם בריאות  שמחה ונחת  כנראה שאתה לא מבין שהסיפור האישי שלהם  אינו סיפור בלבד  זה קרע בשרשרת הדורות של עם ישראל ולזה יש מחיר גבוה במיוחד  ,1,0,train,FALSE,,,,,,,,
שבת מבורכת אדוני הנשיא ואמן שישובו הבנים במהרה,0,0,train,TRUE,,,,,,,,
רק הקדוש ברוך הוא יכול לעזור ולא שום נשיא או ראש ממשלה שלא מכניס את השם בחיו,1,0,train,FALSE,,,,,,,,
 שיהיה להם מזל טוב  ואמן שכל מסית וגזעני יבין שמה שעושה לאחרים היום ייעשה בו מחר  כי די נמאס כבר  ,0,2,train,FALSE,,,,,,,,
בהצלחה ,0,0,train,TRUE,,,,,,,,
אשת חייל מי ימצא משפחה כזאת ראויה לנשיאות,0,0,train,TRUE,,,,,,,,
לנשיא החדש בהצלחה אל תפקיד כנשיא המדינה,0,0,train,TRUE,,,,,,,,
חג שמח לנשיא הבא של מדינת ישראל         ,0,0,train,TRUE,,,,,,,,
 מכתבך מרגש ביותר  אני מאחלת לכם הצלחה רבה  גברת ראשונה של ישראל וכבוד הנשיא מדינת ישראל החדש ,0,0,train,TRUE,,,,,,,,
יהי זיכרו ברוך   ,0,0,train,TRUE,,,,,,,,
שבת שלום לך אדוני הנשיא,0,0,train,TRUE,,,,,,,,
 מזל טוב ובהצלחה אדוני הנשיא  סוף סוף  עשה חיל  אוהבים ,0,0,train,TRUE,,,,,,,,
 אדוני הנשיא  טול קורה מבין עיניך תטיף נגד גזענות קודם כל אצלך בבית  בבית  ר ,1,0,train,FALSE,,,,,,,,
בהצלחה לכם הרי לבית הנשיא תניחו השניים  🍷,0,0,train,TRUE,,,,,,,,
 רובי  אתה יחיד ומיוחד  ,0,0,train,TRUE,,,,,,,,
מאחל לך המון המון הצלחה ובערת השם אתה הנשיא הבא של ישראל,0,0,train,TRUE,,,,,,,,
